,GW,Vecka,Datum,Hemmalag,Bortalag,Hemmastreak
0,1,38,2024-09-21,Frölunda HC,Leksands IF,1
1,1,38,2024-09-21,Linköping HC,Brynäs IF,1
2,1,38,2024-09-21,Växjö Lakers,HV71,1
3,1,38,2024-09-21,Malmö Redhawks,Skellefteå AIK,1
4,1,38,2024-09-21,Luleå Hockey,Timrå IK,1
5,1,38,2024-09-21,Örebro Hockey,MoDo Hockey,1
6,1,38,2024-09-21,Färjestad BK,Rögle BK,1
7,2,39,2024-09-24,Luleå Hockey,Leksands IF,2
8,2,39,2024-09-24,HV71,Skellefteå AIK,1
9,2,39,2024-09-24,Timrå IK,Örebro Hockey,1
10,2,39,2024-09-24,Rögle BK,Frölunda HC,1
11,2,39,2024-09-24,Växjö Lakers,Färjestad BK,2
12,2,39,2024-09-26,Skellefteå AIK,Växjö Lakers,1
13,2,39,2024-09-26,MoDo Hockey,Malmö Redhawks,1
14,2,39,2024-09-26,Leksands IF,Rögle BK,1
15,2,39,2024-09-26,Färjestad BK,Timrå IK,1
16,2,39,2024-09-26,Örebro Hockey,Brynäs IF,1
17,2,39,2024-09-26,Frölunda HC,HV71,1
18,2,39,2024-09-28,Timrå IK,Rögle BK,1
19,2,39,2024-09-28,Örebro Hockey,Skellefteå AIK,2
20,2,39,2024-09-28,Brynäs IF,Frölunda HC,1
21,2,39,2024-09-28,MoDo Hockey,Leksands IF,2
22,2,39,2024-09-28,Luleå Hockey,Färjestad BK,3
23,2,39,2024-09-28,Linköping HC,HV71,2
24,2,39,2024-09-28,Malmö Redhawks,Växjö Lakers,1
25,3,40,2024-10-01,Luleå Hockey,Skellefteå AIK,4
26,3,40,2024-10-01,Leksands IF,Timrå IK,1
27,3,40,2024-10-01,Färjestad BK,Brynäs IF,1
28,3,40,2024-10-01,Frölunda HC,Örebro Hockey,1
29,3,40,2024-10-01,HV71,MoDo Hockey,1
30,3,40,2024-10-01,Växjö Lakers,Linköping HC,1
31,3,40,2024-10-01,Rögle BK,Malmö Redhawks,1
32,3,40,2024-10-03,Malmö Redhawks,Luleå Hockey,1
33,3,40,2024-10-03,Skellefteå AIK,Leksands IF,1
34,3,40,2024-10-03,MoDo Hockey,Frölunda HC,1
35,3,40,2024-10-03,Örebro Hockey,HV71,1
36,3,40,2024-10-03,Timrå IK,Växjö Lakers,1
37,3,40,2024-10-03,Linköping HC,Färjestad BK,1
38,3,40,2024-10-03,Brynäs IF,Rögle BK,1
39,3,40,2024-10-05,Skellefteå AIK,Linköping HC,2
40,3,40,2024-10-05,HV71,Färjestad BK,1
41,3,40,2024-10-05,Växjö Lakers,Brynäs IF,1
42,3,40,2024-10-05,Leksands IF,Örebro Hockey,1
43,3,40,2024-10-05,Timrå IK,MoDo Hockey,2
44,3,40,2024-10-05,Frölunda HC,Malmö Redhawks,1
45,3,40,2024-10-05,Rögle BK,Luleå Hockey,1
46,4,41,2024-10-07,Malmö Redhawks,Linköping HC,1
47,4,41,2024-10-10,Luleå Hockey,Örebro Hockey,1
48,4,41,2024-10-10,MoDo Hockey,Växjö Lakers,1
49,4,41,2024-10-10,Färjestad BK,Frölunda HC,1
50,4,41,2024-10-10,Brynäs IF,Leksands IF,1
51,4,41,2024-10-10,Linköping HC,Timrå IK,1
52,4,41,2024-10-10,Rögle BK,Skellefteå AIK,2
53,4,41,2024-10-10,Malmö Redhawks,HV71,2
54,4,41,2024-10-12,Frölunda HC,Linköping HC,1
55,4,41,2024-10-12,Brynäs IF,Malmö Redhawks,2
56,4,41,2024-10-12,HV71,Rögle BK,1
57,4,41,2024-10-12,Växjö Lakers,Leksands IF,1
58,4,41,2024-10-12,Timrå IK,Skellefteå AIK,1
59,4,41,2024-10-12,MoDo Hockey,Luleå Hockey,2
60,4,41,2024-10-12,Örebro Hockey,Färjestad BK,1
61,5,42,2024-10-15,Brynäs IF,MoDo Hockey,3
62,5,42,2024-10-17,Luleå Hockey,Växjö Lakers,1
63,5,42,2024-10-17,Skellefteå AIK,Brynäs IF,1
64,5,42,2024-10-17,Färjestad BK,Malmö Redhawks,1
65,5,42,2024-10-17,Leksands IF,HV71,1
66,5,42,2024-10-17,Linköping HC,MoDo Hockey,1
67,5,42,2024-10-17,Frölunda HC,Timrå IK,2
68,5,42,2024-10-17,Rögle BK,Örebro Hockey,1
69,5,42,2024-10-19,Luleå Hockey,Brynäs IF,2
70,5,42,2024-10-19,HV71,Timrå IK,1
71,5,42,2024-10-19,Rögle BK,Linköping HC,2
