GW,Vecka,Datum,Hemmalag,Bortalag
1,38,2024-09-21,Frölunda HC,Leksands IF
1,38,2024-09-21,Linköping HC,Brynäs IF
1,38,2024-09-21,Växjö Lakers,HV71
1,38,2024-09-21,Malmö Redhawks,Skellefteå AIK
1,38,2024-09-21,Luleå Hockey,Timrå IK
1,38,2024-09-21,Örebro Hockey,MoDo Hockey
1,38,2024-09-21,Färjestad BK,Rögle BK
2,39,2024-09-24,Luleå Hockey,Leksands IF
2,39,2024-09-24,HV71,Skellefteå AIK
2,39,2024-09-24,Timrå IK,Örebro Hockey
2,39,2024-09-24,Rögle BK,Frölunda HC
2,39,2024-09-24,Växjö Lakers,Färjestad BK
2,39,2024-09-26,Skellefteå AIK,Växjö Lakers
2,39,2024-09-26,MoDo Hockey,Malmö Redhawks
2,39,2024-09-26,Leksands IF,Rögle BK
2,39,2024-09-26,Färjestad BK,Timrå IK
2,39,2024-09-26,Örebro Hockey,Brynäs IF
2,39,2024-09-26,Frölunda HC,HV71
2,39,2024-09-28,Timrå IK,Rögle BK
2,39,2024-09-28,Örebro Hockey,Skellefteå AIK
2,39,2024-09-28,Brynäs IF,Frölunda HC
2,39,2024-09-28,MoDo Hockey,Leksands IF
2,39,2024-09-28,Luleå Hockey,Färjestad BK
2,39,2024-09-28,Linköping HC,HV71
2,39,2024-09-28,Malmö Redhawks,Växjö Lakers
3,40,2024-10-01,Luleå Hockey,Skellefteå AIK
3,40,2024-10-01,Leksands IF,Timrå IK
3,40,2024-10-01,Färjestad BK,Brynäs IF
3,40,2024-10-01,Frölunda HC,Örebro Hockey
3,40,2024-10-01,HV71,MoDo Hockey
3,40,2024-10-01,Växjö Lakers,Linköping HC
3,40,2024-10-01,Rögle BK,Malmö Redhawks
3,40,2024-10-03,Malmö Redhawks,Luleå Hockey
3,40,2024-10-03,Skellefteå AIK,Leksands IF
3,40,2024-10-03,MoDo Hockey,Frölunda HC
3,40,2024-10-03,Örebro Hockey,HV71
3,40,2024-10-03,Timrå IK,Växjö Lakers
3,40,2024-10-03,Linköping HC,Färjestad BK
3,40,2024-10-03,Brynäs IF,Rögle BK
3,40,2024-10-05,Skellefteå AIK,Linköping HC
3,40,2024-10-05,HV71,Färjestad BK
3,40,2024-10-05,Växjö Lakers,Brynäs IF
3,40,2024-10-05,Leksands IF,Örebro Hockey
3,40,2024-10-05,Timrå IK,MoDo Hockey
3,40,2024-10-05,Frölunda HC,Malmö Redhawks
