name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Filip Hållander,FW,10.2 mkr,354,4.8,6.9,100,81,8,0,32,118,14,0,8,-9,2,0,0,0,0,0,,
Jakob Silfverberg,FW,9.7 mkr,348,5.6,6.7,92,72,18,0,28,115,15,0,5,0,0,0,0,0,0,0,,
David Tomasek,C,10.3 mkr,337,6,7.2,100,96,8,0,10,102,9,29,2,-21,2,0,0,0,0,0,,
Victor Söderström,B,9.8 mkr,336,6.2,6.9,36,84,6,0,56,141,10,0,11,-8,0,0,0,0,0,0,,
Johan Larsson,C,9.9 mkr,335,2.4,6.4,52,63,6,0,30,130,11,31,9,-18,21,0,0,0,0,0,,
Charle-Édouard D'Astous,B,9.7 mkr,335,2.6,6.8,48,75,4,0,54,142,15,0,14,-26,9,0,0,0,0,0,,
Oskar Steen,FW,9.2 mkr,325,2.6,6.3,116,45,16,0,38,109,13,0,0,-20,8,0,0,0,0,0,,
Patrik Karlkvist,FW,9.8 mkr,322,6.2,6.3,76,90,10,0,20,114,12,0,7,-11,4,0,0,0,0,0,,
Oscar Lindberg,C,10.0 mkr,317,11,6.1,76,84,8,0,2,117,13,19,10,-22,10,0,0,0,0,0,,
Henrik Tömmernes,B,9.9 mkr,299,7.8,6.1,24,99,0,0,14,145,7,0,17,-11,4,0,0,0,0,0,,
Linus Hultström,B,8.9 mkr,298,6.2,5.7,44,93,4,0,12,128,13,0,12,-10,2,0,0,0,0,0,,
Brian O'Neill,C,9.4 mkr,279,5.8,5.5,44,72,6,0,24,112,4,6,3,-7,15,0,0,0,0,0,,
Rickard Hugg,FW,9.0 mkr,277,8.4,5.5,76,57,6,0,20,112,6,0,5,-7,2,0,0,0,0,0,,
Jonathan Dahlén,FW,9.5 mkr,276,-0.2,6,68,87,8,0,10,97,10,0,0,-6,2,0,0,0,0,0,,
Mathias Bromé,FW,9.3 mkr,275,8,5.3,72,54,4,0,24,117,7,0,1,-5,1,0,0,0,0,0,,
Anton Wedin,FW,9.0 mkr,274,6.6,5.5,64,72,6,0,20,106,12,-3,0,-6,3,0,0,0,0,0,,
Marian Studenic,FW,9.5 mkr,274,2.6,5.5,56,90,8,0,22,102,6,0,3,-14,1,0,0,0,0,0,,
Max Friberg,FW,8.8 mkr,274,3.2,5.4,52,63,6,0,0,140,6,0,10,-10,7,0,0,0,0,0,,
Lassi Thomson,B,8.8 mkr,271,5.8,5.4,68,36,6,0,4,135,18,0,5,-13,12,0,0,0,0,0,,
Jack Kopacka,FW,8.2 mkr,269,4.8,5.2,72,48,6,0,20,104,16,0,2,-3,4,0,0,0,0,0,,
Patrik Puistola,FW,8.7 mkr,264,3,5.1,72,63,12,0,-4,113,5,0,6,-6,3,0,0,0,0,0,,
David Quenneville,B,9.2 mkr,263,5.8,5.7,40,81,2,0,-4,118,16,0,13,-6,3,0,0,0,0,0,,
Justin Kloos,FW,8.7 mkr,262,6,5.0,72,45,4,0,20,112,11,-5,8,-7,2,0,0,0,0,0,,
Viktor Lodin,FW,8.7 mkr,261,8.4,5.2,68,81,4,0,6,105,9,-3,4,-23,10,0,0,0,0,0,,
Henrik Borgström,C,8.4 mkr,259,-0.2,5.3,76,78,6,0,-24,116,11,0,1,-5,0,0,0,0,0,0,,
Anton Rödin,FW,8.4 mkr,258,3.6,5.1,52,72,4,0,26,108,5,0,1,-17,4,0,0,0,0,0,,
Bobby Trivigno,FW,8.3 mkr,256,0.8,5.2,68,39,12,0,28,97,5,0,5,-10,12,0,0,0,0,0,,
Oskar Lindblom,FW,8.8 mkr,255,5.4,4.9,52,45,4,0,40,103,4,-1,6,-9,11,0,0,0,0,0,,
Fredrik Händemark,C,8.7 mkr,251,4.6,4.9,28,51,0,0,-6,106,5,58,9,-15,12,0,0,0,0,0,,
Jesper Sellgren,B,9.3 mkr,251,2.8,5.0,20,42,0,0,22,141,3,0,21,-3,5,0,0,0,0,0,,
Jonathan Pudas,B,9.1 mkr,250,0,5.3,28,69,2,0,4,137,5,0,17,-12,0,0,0,0,0,0,,
Robin Salo,B,8.7 mkr,247,5.2,4.8,20,66,0,0,0,146,11,0,8,-5,1,0,0,0,0,0,,
Markus Ljungh,C,7.9 mkr,246,2,4.8,44,72,6,0,-8,109,3,23,5,-10,2,0,0,0,0,0,,
Anton Heikkinen,FW,8.0 mkr,244,9.4,4.7,64,39,10,0,20,103,7,0,7,-10,1,0,0,0,0,0,,
Oliver Kapanen,C,9.6 mkr,244,6.6,6.8,60,60,4,0,6,86,12,11,8,-6,3,0,0,0,0,0,,
Olle Alsing,B,8.4 mkr,244,4.2,4.8,24,63,0,0,6,141,4,0,10,-5,1,0,0,0,0,0,,
Christoffer Ehn,FW,8.5 mkr,241,5.8,4.6,56,39,4,0,18,114,1,0,2,-2,3,0,0,0,0,0,,
Ty Rattie,FW,8.1 mkr,240,5.6,4.6,52,72,6,0,-4,104,14,0,3,-7,0,0,0,0,0,0,,
